"수행기관","구군명","사업구분","사업명","사업주요활동내용","사업시작일","사업종료일","인원(명)","전화번호","데이터기준일자"
"동원종합사회복지관","부산광역시 북구","사회서비스형","지역아동센터 지원사업","지역아동센터 환경미화, 아동보호 및 귀가지원등 활동지원","2021-01-01","2021-12-31","5","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","사회서비스형","노인 관련 시설 지원 사업","노인 관련 시설 지원 및 시니어 안전 모니터링","2021-01-01","2021-12-31","15","051-361-0045","2020-12-31"
"만덕종합사회복지관","부산광역시 북구","공익활동","지역아동센터도우미","지역아동센터 환경미화, 아동보호 및 귀가지원등 활동지원","2021-01-01","2021-12-31","26","051-332-8004","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","마을지킴이(가칭)","방범 및 순찰","2021-01-01","2021-12-31","30","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","필승섬유사업","의류 잔사 제거","2021-01-01","2021-12-31","40","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","씽씽조립사업","자동차 부품 조립","2021-01-01","2021-12-31","50","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","숲속의 요정","커피제조, 판매","2021-01-01","2021-12-31","30","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","은빛희망일터","의류 잔사 제거","2021-01-01","2021-12-31","60","051-337-9331","2020-12-31"
"북구시니어클럽","부산광역시 북구","시장형","금빛희망일터","의류 잔사 제거","2021-01-01","2021-12-31","60","051-337-9331","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","실버안전지킴이","고독사 위험 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","100","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","실버연극단","연극공연 실시","2021-01-01","2021-12-31","10","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","실버강사파견","어린이집, 유치원 등 다양한 강사(장구 등) 파견","2021-01-01","2021-12-31","150","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","복지시설도우미","지역내 사회복지관 등 환경미화 활동","2021-01-01","2021-12-31","20","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","우리동네시설지원단","복지시설 (복지관, 지역아동센터 등) 환경정비","2021-01-01","2021-12-31","80","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","사서도우미","도서대출 및 반납업무, 도서관 환경정리","2021-01-01","2021-12-31","40","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","스쿨정화지킴이","학교 내 청소 및 화단정리를 통한 환경정화활동","2021-01-01","2021-12-31","20","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","교통공원실버지킴이","구포 어린이교통공원 야외체험장 내 안전관리요원으로 활동","2021-01-01","2021-12-31","10","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","10","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","공익활동","실버행복배달","취약계층 간단한 심부름 도시락 지원","2021-01-01","2021-12-31","20","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","사회서비스형","노인맞춤 돌봄서비스 도우미","중증관리사 보조업무","2021-01-01","2021-12-31","10","051-337-5959","2020-12-31"
"실버벨노인복지관","부산광역시 북구","사회서비스형","시니어 안전모니터링 요원","수행기관 및 수요처등에 방문하여 참여자 활동하는 장소 내 안전 환경 체크","2021-01-01","2021-12-31","10","051-337-5959","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","화정실버공연단","복지관, 요양시설 등 공연 신청기관에서 연극 공연","2021-01-01","2021-12-31","6","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","파트타임 보육도우미단","어린이집 및 유치원 대상 보육서비스 및 예절지도","2021-01-01","2021-12-31","30","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","스쿨정화지킴이단","관내 초등학교 화단 및 운동장 청소","2021-01-01","2021-12-31","60","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","복지시설관리지원단","복지관 등 복지시설 환경정화 활동","2021-01-01","2021-12-31","34","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","금곡동 환경개선봉사단","금곡동 지역 내 거리 및 화단 등 환경정비 활동","2021-01-01","2021-12-31","32","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","금곡동 건널목교통지킴이","금곡동 지역내 건널목 교통지도 및 교통안전 캠페인","2021-01-01","2021-12-31","32","051-362-0111","2020-12-31"
"화정종합사회복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","26","051-362-0111","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","교육시설봉사","관내 초중고 교내 학교 폭력 예방 활동","2021-01-01","2021-12-31","24","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","공공시설봉사","지역내 생태공원, 가람낙조길, 버스정류장 환경정비","2021-01-01","2021-12-31","60","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","복지시설봉사","복지시설 내 청소 및 단순 보조업무 지원","2021-01-01","2021-12-31","60","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","문화재시설봉사","관내 문화재 보호, 훼손방지 및 관람편의 제공지원","2021-01-01","2021-12-31","12","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","고독사예방 안전망사업","고독사 위험 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","10","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","사회서비스형","재가시설봉사","관내 재가센터 환경정비 및 업무보조","2021-01-01","2021-12-31","4","051-342-8206","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","사회서비스형","보육시설봉사","관내 어린이집, 지역아동센터 환경정비 및 업무보조","2021-01-01","2021-12-31","6","051-342-8206","2020-12-31"
"대한노인회북구지회","부산광역시 북구","공익활동","우리동네 환경지킴이","관내 불결지 환경정비","2021-01-01","2021-12-31","100","051-337-3488","2020-12-31"
"대한노인회북구지회","부산광역시 북구","공익활동","쌈지공원 건강도우미","이용자 코로나 기본수칙 (열체크, 마스크 착용 권고) 이행 및 환경정비","2021-01-01","2021-12-31","60","051-337-3488","2020-12-31"
"대한노인회북구지회","부산광역시 북구","공익활동","화명생태공원 건강스폰서","화명생태공원 이용자 발열체크 및 공원 관리","2021-01-01","2021-12-31","30","051-337-3488","2020-12-31"
"대한노인회북구지회","부산광역시 북구","공익활동","행복한 경로당 도우미","경로당 환경 위생관리 및 식사보조(설겆이 등)","2021-01-01","2021-12-31","160","051-337-3488","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","시니어교통안전지킴이","교통안전 취약구역 교통안전 예방 활동","2021-01-01","2021-12-31","40","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","친환경EM활용사업","지역주민 대상 EM활용법 홍보 교육 실시","2021-01-01","2021-12-31","40","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","청소년보호지원사업","지역 내 청소년비행우발지역 순찰 및 선도활동","2021-01-01","2021-12-31","30","051-361-0045","2020-12-31"
"동원종합사회복지관","부산광역시 북구","공익활동","방역소독사업","가가호호 방문하여 주거지 내 방역(소독)작업","2021-01-01","2021-12-31","40","051-361-0045","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","20","051-363-2063","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","가람낙조길개선사업단","가람낙조길(금곡동 인근) 수목 및 꽃길 가꾸기 활동","2021-01-01","2021-12-31","40","051-363-2063","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","공공시설도우미","문화빙상센터, 꽃박물관 등 환경미화 활동","2021-01-01","2021-12-31","40","051-363-2063","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","복지시설도우미","지역내 사회복지관 등 환경미화 활동","2021-01-01","2021-12-31","47","051-363-2063","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","건널목안전봉사단","무단횡단 사고다발지역을 중심으로 건널목 이용 유도활동","2021-01-01","2021-12-31","48","051-363-2063","2020-12-31"
"공창종합사회복지관","부산광역시 북구","사회서비스형","보육시설지원사업단","보육시설 내 유아동 식사지원 및 원아지도 보조","2021-01-01","2021-12-31","20","051-363-2063","2020-12-31"
"금곡종합사회복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","20","051-365-2211","2020-12-31"
"금곡종합사회복지관","부산광역시 북구","공익활동","횡단보도 안전지킴이단","무단횡단 사고다발지역을 중심으로 건널목 이용 유도활동","2021-01-01","2021-12-31","40","051-365-2211","2020-12-31"
"금곡종합사회복지관","부산광역시 북구","공익활동","공공시설봉사(쉘터, 공원)","지역내 생태공원, 가람낙조길, 버스정류장 환경정비","2021-01-01","2021-12-31","360","051-365-2211","2020-12-31"
"금곡종합사회복지관","부산광역시 북구","공익활동","식사배달서비스지원사업","취약계층 도시락 배달","2021-01-01","2021-12-31","10","051-365-2211","2020-12-31"
"금곡종합사회복지관","부산광역시 북구","사회서비스형","아동 보육 서비스 지원","보육시설 내 유아동 식사지원 및 원아지도 보조","2021-01-01","2021-12-31","25","051-365-2211","2020-12-31"
"남산정종합사회복지관","부산광역시 북구","공익활동","노노케어","취약노인 가구 방문 후 말벗 및 안부확인","2021-01-01","2021-12-31","24","051-342-8206","2020-12-31"
"공창종합사회복지관","부산광역시 북구","공익활동","클린토이사업단","유아동 장난간 살균 및 세척, 놀이방 환경미화","2021-01-01","2021-12-31","50","051-363-2063","2020-12-31"
"당감종합사회복지관","부산광역시 부산진구","공익형","복지시설지원 사업","지역 내 요보호 어르신들을 대상으로 제공되는 무료급식 서비스 및 도시락 배달, 세탁서비스, 노인주간보호 보조, 장애프로그램보조, 복지관 시설 환경정화","2021-01-19","2020-12-31","67","051-896-2320","2020-12-31"
"당감종합사회복지관","부산광역시 부산진구","공익형","지역청결지원 동네한바퀴","부산진구 당감동 주변 공공시설 및 인근지역 환경관리","2021-01-19","2020-12-31","70","051-896-2320","2020-12-31"
"대한노인회부산진구지부","부산광역시 부산진구","공익형","골드강사파견","경로당방문 민요, 건강, 레크레이션 등 제공","2021-01-19","2020-12-31","30","051-865-3240","2020-12-31"
"대한노인회부산진구지부","부산광역시 부산진구","공익형","복지써포터즈","경로당 식사도우미 지원","2021-01-19","2020-12-31","200","051-865-3240","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","공익형","노노케어","취약노인가정을 방문하여 안부확인, 말벗, 생활상태 점검","2021-01-19","2020-12-31","58","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","공익형","시니어순찰대","학교 교통지도 및 환경정화활동","2021-01-19","2020-12-31","377","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","공익형","시니어푸드9060","학교 급식도우미","2021-01-19","2020-12-31","164","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","공익형","우리동네 체육공원시설관리","공원체육시설 노후 및 파손여부 확인, 인근 환경정화 활동","2021-01-19","2020-12-31","372","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","아이사랑9060","지역아동센터 시설 환경정비, 아동 귀가 및 급식지원","2021-01-19","2020-12-31","100","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","시니어컨설턴트","노인취업을 위한 기업체 발굴, 상담, 동행면접, 이동홍보 등 일련의 활동을 하는 컨설턴트 활동","2021-01-19","2020-12-31","10","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","청춘9060","청소년수련관 시설 환경정비 및 급식지원","2021-01-19","2020-12-31","10","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","인력파견형","인력파견","수요처의 요구에 의해 일정 교육을 수료하거나 관련된 업무 능력이 있는 자를 해당 수요처와 연계하는 일자리사업","2021-01-19","2020-12-31","100","051-893-9060","2020-12-31"
"부산진구청","부산광역시 부산진구","공익형","환경지킴이","지역사회 환경개선 활동(불결지 쓰레기 수거활동 등)","2021-01-19","2020-12-31","380","051-605-4324","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","시장형","삐까번쩍실버세차단","공공기관 및 일반고객들을 대상으로 출장세차","2021-01-19","2020-12-31","12","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","시장형","삐까번쩍실버클린사업단","주택, 원룸, 아파트, 사무실등을 대상으로 출장청소","2021-01-19","2020-12-31","16","051-808-8090","2020-12-31"
"다사랑복합문화예술회관","부산광역시 부산진구","공익형","깨끗한 마을만들기, 환경정화 및 환경캠페인 활동 (환경지킴이)","취약노인가정을 방문하여 안부확인, 말벗, 생활상태 점검","2021-01-19","2020-12-31","24","051-891-1743","2020-12-31"
"다사랑복합문화예술회관","부산광역시 부산진구","공익형","노노케어","복지관 내 활동(식당 보조, 도서관 정리, 환경미화 등)","2021-01-19","2020-12-31","61","051-891-1743","2020-12-31"
"다사랑복합문화예술회관","부산광역시 부산진구","공익형","복지시설 업무지원활동 (복지시설도우미)","어린이집, 유치원 파견 교구 및 장난감 등 살균, 소독, 세척 활동 및 보육교사 보조","2021-01-19","2020-12-31","115","051-891-1743","2020-12-31"
"다사랑복합문화예술회관","부산광역시 부산진구","공익형","아동보육시설 교구 및 장난감 소독활동 (보육시설도우미)","깨끗한 마을 만들기(지역사회 환경정화 활동 및 환경 캠페인 활동)","2021-01-19","2020-12-31","100","051-891-1743","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","해피두드림","취약계층(독거노인,장애인) 대상자들에 대한 물적·정서지지 서비스 제공","2021-01-19","2020-12-31","70","051-893-0035","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","노노케어","돌봄취약 노인가정을 방문하여 안부확인, 말벗, 생활상태 점검","2021-01-19","2020-12-31","22","051-893-0035","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","환경지킴이","부산진구 공공시설 주변 환경정리 및 인근지역 환경 관리","2021-01-19","2020-12-31","40","051-893-0035","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","복지시설관리","복지관, 개금2동행복마을회관, 호천생활문화센터, 온마을돌봄센터 등에 파견되어 환경미화 활동","2021-01-19","2020-12-31","64","051-893-0035","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","시니어방역단","하수구, 전봇대, 무단투기 지역 등 위생 취약지에 정기적으로 해충 박멸을 위한 소독활동 실시","2021-01-19","2020-12-31","42","051-893-0035","2020-12-31"
"부산진구종합사회복지관","부산광역시 부산진구","공익형","시니어불법촬영감시단","부산진구 내 공중화장실의 불법카메라 설치여부를 점검하고 안전하게 화장실을 이용할 수 있도록 홍보하는 활동","2021-01-19","2020-12-31","16","051-893-0035","2020-12-31"
"당감종합사회복지관","부산광역시 부산진구","공익형","노노케어","취약노인가정을 방문하여 안부확인, 말벗, 생활상태 점검","2021-01-19","2020-12-31","26","051-896-2320","2020-12-31"
"당감종합사회복지관","부산광역시 부산진구","공익형","보육교사 도우미 사업","국·공립 어린이집의 보육서비스 보조 및 청결유지 및 환경개선","2021-01-19","2020-12-31","39","051-896-2320","2020-12-31"
"부산노인복지진흥회","부산광역시 부산진구","공익형","환경지킴봉사단","부산진구 관내 불법광고물 수거 및 서면특화 거리 담배꽁초 및 테이크아웃컵 수거 등","2021-01-19","2020-12-31","10","051-898-3600","2020-12-31"
"부산노인복지진흥회","부산광역시 부산진구","공익형","건강지킴이","보건소 활동으로 금연시설(음식점)지도점검, 금연거리 안내 및 금연사업 홍보 캠페인 활동","2021-01-19","2020-12-31","93","051-898-3600","2020-12-31"
"양정재가노인복지센터","부산광역시 부산진구","공익형","노노케어(행복나르미)","취약노인가정을 방문하여 안부확인, 말벗, 도시락 배달","2021-01-19","2020-12-31","60","051-866-0454","2020-12-31"
"양정재가노인복지센터","부산광역시 부산진구","공익형","보육시설봉사","보육시설(어린이집,유치원) 환경미화","2021-01-19","2020-12-31","70","051-866-0454","2020-12-31"
"양정재가노인복지센터","부산광역시 부산진구","공익형","주정차질서계도","주ㆍ정차 혼잡지역의 질서유지 및 주변 환경개선","2021-01-19","2020-12-31","32","051-866-0454","2020-12-31"
"양정재가노인복지센터","부산광역시 부산진구","공익형","경륜전수활동","보육시설(어린이집,유치원) 강사단 파견 및 인형극 공연","2021-01-19","2020-12-31","20","051-866-0454","2020-12-31"
"양정재가노인복지센터","부산광역시 부산진구","공익형","공공시설봉사","복지시설 및 공공기관 주변 환경정리 활동 및 배식 보조 활동","2021-01-19","2020-12-31","70","051-866-0454","2020-12-31"
"전포종합사회복지관","부산광역시 부산진구","공익형","노노케어","취약노인의 안부확인, 말벗, 생활실태 점검","2021-01-19","2020-12-31","36","051-802-6383","2020-12-31"
"전포종합사회복지관","부산광역시 부산진구","공익형","실버맞춤급식사업","무료급식서비스 및 도시락, 밑반찬 조리지원","2021-01-19","2020-12-31","44","051-802-6383","2020-12-31"
"전포종합사회복지관","부산광역시 부산진구","공익형","복지시설관리지원사업","복지관 내 시설 관리 및 환경미화","2021-01-19","2020-12-31","133","051-802-6383","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","노노케어","취약노인가정을 방문하여 안부확인, 말벗, 생활상태 점검","2021-01-19","2020-12-31","140","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","장애인돌봄서비스","장애인가정을 방문하여 밑반찬배달 및 안부확인","2021-01-19","2020-12-31","27","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","어르신강사단","지역아동센터 및 복지관 내 한글교육, 영어교육, 학습지도 지원","2021-01-19","2020-12-31","30","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","인형극교육활동","어린이집 및 유치원에서 효, 성(性)등에 대해 인형극 공연","2021-01-19","2020-12-31","10","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","이용자교통안전","복지관 셔틀버스 승하차 도우미 및 인근 횡단보도 안전지원","2021-01-19","2020-12-31","108","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","복지시설관리지원활동","복지관 및 복지관련기관 내 환경미화, 식당업무, 도시락정리, 실버카페 업무지원","2021-01-19","2020-12-31","100","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","거리환경지킴이","양정, 전포, 부전, 서면일대 거리환경 개선활동","2021-01-19","2020-12-31","103","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","공익형","사서도우미지원사업","초·중등학교 및 공공도서관 사서업무지원및 환경정리","2021-01-19","2020-12-31","20","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","사회서비스형","노인급식지원사업","복지관 내 급식조리 및 취약노인가정 도시락 배달","2021-01-19","2020-12-31","16","051-808-8090","2020-12-31"
"부산진구노인복지관","부산광역시 부산진구","사회서비스형","노인맞춤돌봄지원단","노인맞춤돌봄서비스 생활지원사 보조","2021-01-19","2020-12-31","20","051-808-8090","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","백세식품","두부 및 밑반찬 제작, 판매(공동작업장)","2021-01-19","2020-12-31","20","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","차차차9060크린","방문세차 및 공중화장실청소, 사무실 용역청소관리","2021-01-19","2020-12-31","15","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","학교지킴이 → 교육청 지원","학교 시설물 유지 및 관리","2021-01-19","2020-12-31","12","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","(부울경)소방안전지킴이","주거취약계층 소화기 및 단독 경보형 감지기 설치 지원","2021-01-19","2020-12-31","20","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","경로당 주택수리","경로당 주택 수리(도배, 장판 등)","2021-01-19","2020-12-31","10","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","복지보듬이","독거노인의 세탁서비스, 도시락 포장 및 배달,  경로식당 배식지원 및 환경정화","2021-01-19","2020-12-31","58","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","시니어마을안전지킴이","취약지역 순찰을 통한 지역범죄예방 및 질서유지","2021-01-19","2020-12-31","50","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","사회서비스형","노인맞춤돌봄서비스 지원","관내 복지관과 연계하여 노인맞춤돌봄서비스 업무보조","2021-01-19","2020-12-31","30","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","공익형","학교방역","부산진구 관내 유치원,초중고 학교 방역(58개소)","2021-01-19","2020-12-31","170","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","노하우9060","나무(목걸이)공예 및 단체복 제작 판매(공동작업장)","2021-01-19","2020-12-31","10","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","다방매점","소규모 매장운영","2021-01-19","2020-12-31","12","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","다방분식","소규모 분식집 운영","2021-01-19","2020-12-31","16","051-893-9060","2020-12-31"
"부산진시니어클럽","부산광역시 부산진구","시장형","맥가이버9060","쇼핑백 제작(공동작업장)","2021-01-19","2020-12-31","126","051-893-9060","2020-12-31"
"부산노인복지진흥회","부산광역시 부산진구","공익형","새싹튼튼구연동화","예로부터 내려오는 이야기를 들려주면서 세대 공감의 지리를 마련 동화구연 전달","2021-01-19","2020-12-31","15","051-898-3600","2020-12-31"
"부산노인복지진흥회","부산광역시 부산진구","공익형","실버강사파견","노인대학 수업 참여 어르신 보조 지도 및 환경미화 활동 지원","2021-01-19","2020-12-31","65","051-898-3600","2020-12-31"
"대한노인회동래구지회","부산광역시 동래구","공익활동형","노인일자리 및 사회활동지원사업","노인일자리 및 사회활동지원","2020-01-01","2020-12-31","662","051-558-2666","2020-12-31"
"동래구노인복지관","부산광역시 동래구","공익활동형","노인일자리 및 사회활동지원사업","노인일자리 및 사회활동지원","2020-01-01","2020-12-31","493","051-554-6252","2020-12-31"
"동래종합사회복지관","부산광역시 동래구","공익활동형","노인일자리 및 사회활동지원사업","노인일자리 및 사회활동지원","2020-01-01","2020-12-31","323","051-531-2460","2020-12-31"
"사직종합사회복지관","부산광역시 동래구","공익활동형","노인일자리 및 사회활동지원사업","노인일자리 및 사회활동지원","2020-01-01","2020-12-31","662","051-506-3415","2020-12-31"
"부산동래시니어클럽","부산광역시 동래구","공익활동형,사회서비스형,  시장형, 취업알선형","노인일자리 및 사회활동지원사업","노인일자리 및 사회활동지원","2020-01-01","2020-12-31","1340","051-522-1262","2020-12-31"
"(사)대한노인회부산동구지회","부산광역시 동구","공익활동형","불법광고물제로활동","지역사회 환경개선 봉사(A-16)","2021-01-01","2021-12-31","29","051-462-1934","2021-01-02"
"(사)대한노인회부산동구지회","부산광역시 동구","공익활동형","경로당지킴이활동","공공의료 및 복지시설 봉사(A-15)","2021-01-01","2021-12-31","64","051-462-1934","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","공익활동형","동구환경개선사업","지역사회 환경개선 봉사(A-16)","2021-01-01","2021-12-31","71","070-7725-3779","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","공익활동형","부산포개항가도 이바구길 활성화사업","체험활동 지원(A-22)","2021-01-01","2021-12-31","17","070-7725-3779","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","사회서비스형","(부울경)찾아가는 정보지킴이","시니어 안전 모니터링(B-13)","2021-01-01","2021-12-31","32","051-961-8851","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","시장형","실버택배사업","아파트택배(E-07)","2021-01-01","2021-12-31","41","070-7725-3779","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","시장형","위드스토리 공방","공산품제작 및 판매(E-03)","2021-01-01","2021-12-31","10","070-7725-3779","2021-01-02"
"사단법인 삼성희망네트워크","부산광역시 동구","시장형","알파커피(ALPHA COFFEE)","매장운영(E-04)","2021-01-01","2021-12-31","10","070-7725-3779","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","공익활동형","동구아이보듬이","보육시설 봉사(A-10)","2021-01-01","2021-12-31","70","051-714-6099","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","공익활동형","너나우리지킴이","생활시설이용자 지원(A-06)","2021-01-01","2021-12-31","70","051-714-6099","2021-01-02"
"(사)대한노인회부산동구지회","부산광역시 동구","공익활동형","소통봉사대","공공의료 및 복지시설 봉사(A-15)","2021-01-01","2021-12-31","8","051-462-1934","2021-01-02"
"(사)대한노인회부산동구지회","부산광역시 동구","공익활동형","공공시설지원활동","지역사회 환경개선 봉사(A-16)","2021-01-01","2021-12-31","156","051-462-1934","2021-01-02"
"(사)대한노인회부산동구지회","부산광역시 동구","공익활동형","경로당활성화활동","건강체조 취미생활 지도(A-20)","2021-01-01","2021-12-31","10","051-462-1934","2021-01-02"
"동구자성대노인복지관","부산광역시 동구","사회서비스형","장기요양통합서비스 지원사업(장기요양도우미)","장기요양통합서비스 지원(B-14)","2021-01-01","2021-12-31","10","051-632-7597","2021-01-02"
"동구자성대노인복지관","부산광역시 동구","시장형","스쿨지원단(老풍당당)","기타(E-10)","2021-01-01","2021-12-31","80","051-632-7597","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","지역아동센터지원활동","지역아동센터 봉사(A-11)","2021-01-01","2021-12-31","80","051-467-7887","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","도서관사서도우미활동","도서관 봉사(A-12)","2021-01-01","2021-12-31","17","051-467-7887","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","금연홍보활동","공공의료 및 복지시설 봉사(A-15)","2021-01-01","2021-12-31","15","051-467-7887","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","실버교육강사파견활동","경륜전수 활동(A-23)","2021-01-01","2021-12-31","34","051-467-7887","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","노인지킴이활동","노노케어(A-01)","2021-01-01","2021-12-31","154","051-467-7887","2021-01-02"
"부산동구노인종합복지관","부산광역시 동구","공익활동형","공공시설지원활동","공원 놀이터 등 공공시설 봉사(A-13)","2021-01-01","2021-12-31","36","051-467-7887","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","사회서비스형","(부울경)동구애보듬이Ⅲ- 시니어 안전 모니터링","시니어 안전 모니터링(B-13)","2021-01-01","2021-12-31","30","051-714-6099","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","사회서비스형","동구애보듬이Ⅱ- 기타","기타(B-18)","2021-01-01","2021-12-31","68","051-714-6099","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","사회서비스형","동구애보듬이Ⅰ- 노인","노인 관련 시설 지원(B-11)","2021-01-01","2021-12-31","63","051-714-6099","2021-01-02"
"부산동구시니어클럽","부산광역시 동구","시장형","우렁할매","기타(E-10)","2021-01-01","2021-12-31","25","051-714-6099","2021-01-02"
